Title,Price,Registration Date,Mileage,Fuel Type,Transmission,Engine Size,Doors,Colour,Body Type,URL,Sale Date
volkswagen golf gti mk5,"2,250.00",2005,135000,Petrol,Automatic,2,3,Black,Hatchback,https://www.ebay.co.uk/itm/144194630096?hash=item2192ab71d0:g:kYcAAOSwjKVhOzQe, 20 Sep 2021
2010 VW Golf 1.6 tdi S 5 door ,"2,025.00",2010,140000,Diesel,Manual,1.6,5,Blue,Hatchback,https://www.ebay.co.uk/itm/274945149303?hash=item4004020977:g:j6YAAOSwbQBhNh47, 20 Sep 2021
"VOLKSWAGEN GOLF 1.6 MATCH 5 DOOR SERVICE HISTORY ""RECENT CAMBELT REPLACEMENT"" ",610.00,2004,122500,Petrol,Manual,1.6,5,Black,Hatchback,https://www.ebay.co.uk/itm/334151882191?hash=item4dcd0115cf:g:M84AAOSw4s1hRM~r, 20 Sep 2021
Golf plus 2005 Automatic Petrol,"1,670.00",2005,95000,Petrol,Automatic,1.6,5,Silver,Hatchback,https://www.ebay.co.uk/itm/165073693428?hash=item266f28aaf4:g:E34AAOSwxJBhQkiu, 20 Sep 2021
VW Golf MK Diesel Silver with Tow bar,750.00,2002,136752,Diesel,Manual,1.9,5,Silver,Hatchback,https://www.ebay.co.uk/itm/124899467639?hash=item1d1496a177:g:P5UAAOSw1vZhP6ho, 20 Sep 2021
VW Golf Driver 1994 - Blue,360.00,1994,160600,Petrol,Manual,1.8,3,Blue,Hatchback,https://www.ebay.co.uk/itm/224609338609?hash=item344bc284f1:g:vDYAAOSwmbdhQI1W, 21 Sep 2021
VW Golf  1.9 Tdi SE,510.00,2006,117000,Diesel,Manual,1.9,5,Silver,Hatchback,https://www.ebay.co.uk/itm/234187494768?hash=item3686a99570:g:QzsAAOSw77BhQJ10, 21 Sep 2021
"VW GOLF 1.6 SE CONVERTIBLE IN SILVER, 12 MONTHS MOT WITH NO ADVISORIES ","1,020.00",1999,106960,Petrol,Manual,1.6,,Silver,Convertible,https://www.ebay.co.uk/itm/324788195500?hash=item4b9ee290ac:g:WcgAAOSwnvVhQM24, 21 Sep 2021
2010 VW Golf 1.6 TDI Bluemotion TECH MATCH FINAL EDITION 5 door,"2,350.00",2010,167000,Diesel,Manual,1.6,5,Black,Hatchback,https://www.ebay.co.uk/itm/165071788325?hash=item266f0b9925:g:~nMAAOSw9IthQOK7, 21 Sep 2021
Volkswagen Golf ,495.00,2001,93931,Petrol,Manual,1.6,5,Green,Hatchback,https://www.ebay.co.uk/itm/165066180781?hash=item266eb608ad:g:BMUAAOSw53VgnROA, 21 Sep 2021
vw golf mk4 v5 2.3,670.00,2002,224363,Petrol,Manual,2.3,3,Black,Hatchback,https://www.ebay.co.uk/itm/234184714493?hash=item36867f28fd:g:uSAAAOSwAg1hPhXV, 22 Sep 2021
VW Golf 2.0 TDI BlueMotion Tech GT ,"6,400.00",2013,94300,Diesel,Manual,2,5,Blue,Estate,https://www.ebay.co.uk/itm/234193940661?hash=item36870bf0b5:g:IDQAAOSw7PxhRjEe, 23 Sep 2021
volkswagen golf gti mk6,"5,125.00",2010,115000,Petrol,Manual,2,5,Black,Hatchback,https://www.ebay.co.uk/itm/265324646011?hash=item3dc694ce7b:g:DksAAOSwPsFhPPQR, 23 Sep 2021
VW Golf GT TSI Automatic 2009 1.4 Petrol,"3,000.00",2009,152200,Petrol,Automatic,1.4,5,Black,Hatchback,https://www.ebay.co.uk/itm/144209175059?hash=item2193896213:g:XS4AAOSwY8RhR31v, 24 Sep 2021
"VW GOLF GTI 2.0, 5 DOOR, Low mileage",725.00,2001,89000,Petrol,Manual,2,5,Green,Hatchback,https://www.ebay.co.uk/itm/185056404427?hash=item2b1638a3cb:g:Q4sAAOSwttZhN6eC, 24 Sep 2021
Volkswagen Golf 1.9 TDI Match 5dr * BRAND NEW MOT * 1 OWNER ,920.00,2007,140000,Diesel,Manual,1.9,5,Black,Hatchback,https://www.ebay.co.uk/itm/203579080709?hash=item2f66424005:g:tGAAAOSwqC9hJQff, 27 Aug 2021
VOLKSWAGEN GOLF 1.6 TDI 2010 FULL MOT GREY 5 DOOR BLUEMOTION TECH SE,"1,980.00",2010,159370,Diesel,Manual,1.6,5,Grey,Hatchback,https://www.ebay.co.uk/itm/284413518195?hash=item42385de173:g:3SkAAOSwNVZhCSvO, 27 Aug 2021
